clip_path,label,wpm,source,snr_db
data\augmented\20wpm\260106_20WPM_015_aug01.wav,"COMMA, A",20wpm,260106_20WPM.mp3,9.3
data\augmented\20wpm\260106_20WPM_016_aug00.wav,ND THE,20wpm,260106_20WPM.mp3,16.4
data\augmented\20wpm\260106_20WPM_016_aug01.wav,ND THE,20wpm,260106_20WPM.mp3,13.3
data\augmented\20wpm\260106_20WPM_017_aug00.wav,VOLUME O,20wpm,260106_20WPM.mp3,1.9
data\augmented\20wpm\260106_20WPM_017_aug01.wav,VOLUME O,20wpm,260106_20WPM.mp3,-2.2
data\augmented\20wpm\260106_20WPM_018_aug00.wav,F THE DE,20wpm,260106_20WPM.mp3,11.1
data\augmented\20wpm\260106_20WPM_018_aug01.wav,F THE DE,20wpm,260106_20WPM.mp3,16.2
data\augmented\20wpm\260106_20WPM_019_aug00.wav,"CODER,",20wpm,260106_20WPM.mp3,2.8
data\augmented\20wpm\260106_20WPM_019_aug01.wav,"CODER,",20wpm,260106_20WPM.mp3,18.6
data\augmented\20wpm\260106_20WPM_020_aug00.wav,LEFT AND,20wpm,260106_20WPM.mp3,11.1
data\augmented\20wpm\260106_20WPM_020_aug01.wav,LEFT AND,20wpm,260106_20WPM.mp3,12.9
data\augmented\20wpm\260106_20WPM_021_aug00.wav,RIGHT A,20wpm,260106_20WPM.mp3,9.1
data\augmented\20wpm\260106_20WPM_021_aug01.wav,RIGHT A,20wpm,260106_20WPM.mp3,7.4
data\augmented\20wpm\260106_20WPM_022_aug00.wav,NGLE BRA,20wpm,260106_20WPM.mp3,-1.2
data\augmented\20wpm\260106_20WPM_022_aug01.wav,NGLE BRA,20wpm,260106_20WPM.mp3,18.3
data\augmented\20wpm\260106_20WPM_023_aug00.wav,CKETS.,20wpm,260106_20WPM.mp3,13.3
data\augmented\20wpm\260106_20WPM_023_aug01.wav,CKETS.,20wpm,260106_20WPM.mp3,0.0
data\augmented\20wpm\260106_20WPM_024_aug00.wav,THE SPAC,20wpm,260106_20WPM.mp3,1.3
data\augmented\20wpm\260106_20WPM_024_aug01.wav,THE SPAC,20wpm,260106_20WPM.mp3,-2.1
data\augmented\20wpm\260106_20WPM_025_aug00.wav,E BAR CO,20wpm,260106_20WPM.mp3,11.7
data\augmented\20wpm\260106_20WPM_025_aug01.wav,E BAR CO,20wpm,260106_20WPM.mp3,1.5
data\augmented\20wpm\260106_20WPM_026_aug00.wav,NTROLS,20wpm,260106_20WPM.mp3,4.2
data\augmented\20wpm\260106_20WPM_026_aug01.wav,NTROLS,20wpm,260106_20WPM.mp3,1.7
data\augmented\20wpm\260106_20WPM_027_aug00.wav,THE DECO,20wpm,260106_20WPM.mp3,14.6
data\augmented\20wpm\260106_20WPM_027_aug01.wav,THE DECO,20wpm,260106_20WPM.mp3,19.2
data\augmented\20wpm\260106_20WPM_028_aug00.wav,DER RESP,20wpm,260106_20WPM.mp3,0.3
data\augmented\20wpm\260106_20WPM_028_aug01.wav,DER RESP,20wpm,260106_20WPM.mp3,12.4
data\augmented\20wpm\260106_20WPM_029_aug00.wav,ONSE TO,20wpm,260106_20WPM.mp3,18.4
data\augmented\20wpm\260106_20WPM_029_aug01.wav,ONSE TO,20wpm,260106_20WPM.mp3,14.6
data\augmented\20wpm\260106_20WPM_030_aug00.wav,LOST LO,20wpm,260106_20WPM.mp3,-1.3
data\augmented\20wpm\260106_20WPM_030_aug01.wav,LOST LO,20wpm,260106_20WPM.mp3,4.6
data\augmented\20wpm\260106_20WPM_031_aug00.wav,CK. WHEN,20wpm,260106_20WPM.mp3,-2.0
data\augmented\20wpm\260106_20WPM_031_aug01.wav,CK. WHEN,20wpm,260106_20WPM.mp3,7.8
data\augmented\20wpm\260106_20WPM_032_aug00.wav,THE DEC,20wpm,260106_20WPM.mp3,14.4
data\augmented\20wpm\260106_20WPM_032_aug01.wav,THE DEC,20wpm,260106_20WPM.mp3,7.4
data\augmented\20wpm\260106_20WPM_033_aug00.wav,ODER LOS,20wpm,260106_20WPM.mp3,7.0
data\augmented\20wpm\260106_20WPM_033_aug01.wav,ODER LOS,20wpm,260106_20WPM.mp3,12.5
data\augmented\20wpm\260106_20WPM_034_aug00.wav,ES LOCK,20wpm,260106_20WPM.mp3,9.9
data\augmented\20wpm\260106_20WPM_034_aug01.wav,ES LOCK,20wpm,260106_20WPM.mp3,2.4
data\augmented\20wpm\260106_20WPM_035_aug00.wav,DUE TO,20wpm,260106_20WPM.mp3,8.9
data\augmented\20wpm\260106_20WPM_035_aug01.wav,DUE TO,20wpm,260106_20WPM.mp3,17.6
data\augmented\20wpm\260106_20WPM_036_aug00.wav,A FREQUE,20wpm,260106_20WPM.mp3,2.6
data\augmented\20wpm\260106_20WPM_036_aug01.wav,A FREQUE,20wpm,260106_20WPM.mp3,13.7
data\augmented\20wpm\260106_20WPM_037_aug00.wav,NCY CHA,20wpm,260106_20WPM.mp3,7.7
data\augmented\20wpm\260106_20WPM_037_aug01.wav,NCY CHA,20wpm,260106_20WPM.mp3,18.0
data\augmented\20wpm\260106_20WPM_038_aug00.wav,"NGE, QSB",20wpm,260106_20WPM.mp3,4.1
data\augmented\20wpm\260106_20WPM_038_aug01.wav,"NGE, QSB",20wpm,260106_20WPM.mp3,17.4
data\augmented\20wpm\260106_20WPM_039_aug00.wav,", QRM, O",20wpm,260106_20WPM.mp3,5.3
data\augmented\20wpm\260106_20WPM_039_aug01.wav,", QRM, O",20wpm,260106_20WPM.mp3,7.0
data\augmented\20wpm\260106_20WPM_040_aug00.wav,R ANY OT,20wpm,260106_20WPM.mp3,9.0
data\augmented\20wpm\260106_20WPM_040_aug01.wav,R ANY OT,20wpm,260106_20WPM.mp3,-1.0
data\augmented\20wpm\260106_20WPM_041_aug00.wav,HER REA,20wpm,260106_20WPM.mp3,16.8
data\augmented\20wpm\260106_20WPM_041_aug01.wav,HER REA,20wpm,260106_20WPM.mp3,5.2
data\augmented\20wpm\260106_20WPM_042_aug00.wav,"SON, IT",20wpm,260106_20WPM.mp3,11.5
data\augmented\20wpm\260106_20WPM_042_aug01.wav,"SON, IT",20wpm,260106_20WPM.mp3,4.9
data\augmented\20wpm\260106_20WPM_043_aug00.wav,WILL KEE,20wpm,260106_20WPM.mp3,7.4
data\augmented\20wpm\260106_20WPM_043_aug01.wav,WILL KEE,20wpm,260106_20WPM.mp3,15.9
data\augmented\20wpm\260106_20WPM_044_aug00.wav,P TRYIN,20wpm,260106_20WPM.mp3,18.0
data\augmented\20wpm\260106_20WPM_044_aug01.wav,P TRYIN,20wpm,260106_20WPM.mp3,9.6
data\augmented\20wpm\260106_20WPM_045_aug00.wav,G TO DEC,20wpm,260106_20WPM.mp3,-2.5
data\augmented\20wpm\260106_20WPM_045_aug01.wav,G TO DEC,20wpm,260106_20WPM.mp3,6.6
data\augmented\20wpm\260106_20WPM_046_aug00.wav,ODE BASE,20wpm,260106_20WPM.mp3,-0.3
data\augmented\20wpm\260106_20WPM_046_aug01.wav,ODE BASE,20wpm,260106_20WPM.mp3,12.1
data\augmented\20wpm\260106_20WPM_047_aug00.wav,D ON ITS,20wpm,260106_20WPM.mp3,0.2
data\augmented\20wpm\260106_20WPM_047_aug01.wav,D ON ITS,20wpm,260106_20WPM.mp3,13.7
data\augmented\20wpm\260106_20WPM_048_aug00.wav,PREVIO,20wpm,260106_20WPM.mp3,2.2
data\augmented\20wpm\260106_20WPM_048_aug01.wav,PREVIO,20wpm,260106_20WPM.mp3,17.7
data\augmented\20wpm\260106_20WPM_049_aug00.wav,US ACTIV,20wpm,260106_20WPM.mp3,0.2
data\augmented\20wpm\260106_20WPM_049_aug01.wav,US ACTIV,20wpm,260106_20WPM.mp3,7.4
data\augmented\20wpm\260106_20WPM_050_aug00.wav,ITY. AT,20wpm,260106_20WPM.mp3,7.2
data\augmented\20wpm\260106_20WPM_050_aug01.wav,ITY. AT,20wpm,260106_20WPM.mp3,17.6
data\augmented\20wpm\260106_20WPM_051_aug00.wav,THIS POI,20wpm,260106_20WPM.mp3,5.8
data\augmented\20wpm\260106_20WPM_051_aug01.wav,THIS POI,20wpm,260106_20WPM.mp3,19.0
data\augmented\20wpm\260106_20WPM_052_aug00.wav,"NT, TEL",20wpm,260106_20WPM.mp3,10.4
data\augmented\20wpm\260106_20WPM_052_aug01.wav,"NT, TEL",20wpm,260106_20WPM.mp3,8.1
data\augmented\20wpm\260106_20WPM_053_aug00.wav,L THE AU,20wpm,260106_20WPM.mp3,9.9
data\augmented\20wpm\260106_20WPM_053_aug01.wav,L THE AU,20wpm,260106_20WPM.mp3,1.2
data\augmented\20wpm\260106_20WPM_054_aug00.wav,TOMATIC,20wpm,260106_20WPM.mp3,-0.2
data\augmented\20wpm\260106_20WPM_054_aug01.wav,TOMATIC,20wpm,260106_20WPM.mp3,-0.8
data\augmented\20wpm\260106_20WPM_055_aug00.wav,DECODE,20wpm,260106_20WPM.mp3,7.4
data\augmented\20wpm\260106_20WPM_055_aug01.wav,DECODE,20wpm,260106_20WPM.mp3,4.5
data\augmented\20wpm\260106_20WPM_056_aug00.wav,TO DROP,20wpm,260106_20WPM.mp3,15.2
data\augmented\20wpm\260106_20WPM_056_aug01.wav,TO DROP,20wpm,260106_20WPM.mp3,18.3
data\augmented\20wpm\260106_20WPM_057_aug00.wav,THE PAST,20wpm,260106_20WPM.mp3,19.4
data\augmented\20wpm\260106_20WPM_057_aug01.wav,THE PAST,20wpm,260106_20WPM.mp3,-1.6
data\augmented\20wpm\260106_20WPM_058_aug00.wav,HISTORY,20wpm,260106_20WPM.mp3,19.7
data\augmented\20wpm\260106_20WPM_058_aug01.wav,HISTORY,20wpm,260106_20WPM.mp3,8.5
data\augmented\20wpm\260106_20WPM_059_aug00.wav,AND ST,20wpm,260106_20WPM.mp3,14.2
data\augmented\20wpm\260106_20WPM_059_aug01.wav,AND ST,20wpm,260106_20WPM.mp3,3.7
data\augmented\20wpm\260106_20WPM_060_aug00.wav,ART FRES,20wpm,260106_20WPM.mp3,-2.7
data\augmented\20wpm\260106_20WPM_060_aug01.wav,ART FRES,20wpm,260106_20WPM.mp3,3.8
data\augmented\20wpm\260106_20WPM_061_aug00.wav,H. A PRE,20wpm,260106_20WPM.mp3,11.7
data\augmented\20wpm\260106_20WPM_061_aug01.wav,H. A PRE,20wpm,260106_20WPM.mp3,8.6
data\augmented\20wpm\260106_20WPM_062_aug00.wav,SS OF T,20wpm,260106_20WPM.mp3,6.9
data\augmented\20wpm\260106_20WPM_062_aug01.wav,SS OF T,20wpm,260106_20WPM.mp3,19.5
data\augmented\20wpm\260106_20WPM_063_aug00.wav,HE SPACE,20wpm,260106_20WPM.mp3,6.2
data\augmented\20wpm\260106_20WPM_063_aug01.wav,HE SPACE,20wpm,260106_20WPM.mp3,10.1
data\augmented\20wpm\260106_20WPM_064_aug00.wav,BAR TEL,20wpm,260106_20WPM.mp3,3.8
data\augmented\20wpm\260106_20WPM_064_aug01.wav,BAR TEL,20wpm,260106_20WPM.mp3,18.2
data\augmented\20wpm\260106_20WPM_065_aug00.wav,LS THE D,20wpm,260106_20WPM.mp3,16.6
data\augmented\20wpm\260106_20WPM_065_aug01.wav,LS THE D,20wpm,260106_20WPM.mp3,11.7
data\augmented\20wpm\260106_20WPM_066_aug00.wav,ECODER,20wpm,260106_20WPM.mp3,0.1
data\augmented\20wpm\260106_20WPM_066_aug01.wav,ECODER,20wpm,260106_20WPM.mp3,14.0
data\augmented\20wpm\260106_20WPM_067_aug00.wav,TO DROP,20wpm,260106_20WPM.mp3,12.6
data\augmented\20wpm\260106_20WPM_067_aug01.wav,TO DROP,20wpm,260106_20WPM.mp3,3.1
data\augmented\20wpm\260106_20WPM_068_aug00.wav,THIS CON,20wpm,260106_20WPM.mp3,15.9
data\augmented\20wpm\260106_20WPM_068_aug01.wav,THIS CON,20wpm,260106_20WPM.mp3,4.9
data\augmented\20wpm\260106_20WPM_069_aug00.wav,TINUATIO,20wpm,260106_20WPM.mp3,11.0
data\augmented\20wpm\260106_20WPM_069_aug01.wav,TINUATIO,20wpm,260106_20WPM.mp3,-2.9
data\augmented\20wpm\260106_20WPM_070_aug00.wav,"N, STAR",20wpm,260106_20WPM.mp3,16.9
data\augmented\20wpm\260106_20WPM_070_aug01.wav,"N, STAR",20wpm,260106_20WPM.mp3,16.2
data\augmented\20wpm\260106_20WPM_071_aug00.wav,"T FRESH,",20wpm,260106_20WPM.mp3,10.4
data\augmented\20wpm\260106_20WPM_071_aug01.wav,"T FRESH,",20wpm,260106_20WPM.mp3,15.0
data\augmented\20wpm\260106_20WPM_072_aug00.wav,AND LOO,20wpm,260106_20WPM.mp3,14.6
data\augmented\20wpm\260106_20WPM_072_aug01.wav,AND LOO,20wpm,260106_20WPM.mp3,15.0
data\augmented\20wpm\260106_20WPM_073_aug00.wav,K FOR A,20wpm,260106_20WPM.mp3,4.9
data\augmented\20wpm\260106_20WPM_073_aug01.wav,K FOR A,20wpm,260106_20WPM.mp3,0.3
data\augmented\20wpm\260106_20WPM_074_aug00.wav,NEW LOC,20wpm,260106_20WPM.mp3,-1.2
data\augmented\20wpm\260106_20WPM_074_aug01.wav,NEW LOC,20wpm,260106_20WPM.mp3,14.1
data\augmented\20wpm\260106_20WPM_075_aug00.wav,K. THIS,20wpm,260106_20WPM.mp3,10.9
data\augmented\20wpm\260106_20WPM_075_aug01.wav,K. THIS,20wpm,260106_20WPM.mp3,13.5
data\augmented\20wpm\260106_20WPM_076_aug00.wav,STEP IS,20wpm,260106_20WPM.mp3,3.8
data\augmented\20wpm\260106_20WPM_076_aug01.wav,STEP IS,20wpm,260106_20WPM.mp3,5.6
data\augmented\20wpm\260106_20WPM_077_aug00.wav,NECESSA,20wpm,260106_20WPM.mp3,1.6
data\augmented\20wpm\260106_20WPM_077_aug01.wav,NECESSA,20wpm,260106_20WPM.mp3,4.5
data\augmented\20wpm\260106_20WPM_078_aug00.wav,RY. BECA,20wpm,260106_20WPM.mp3,2.8
data\augmented\20wpm\260106_20WPM_078_aug01.wav,RY. BECA,20wpm,260106_20WPM.mp3,16.1
data\augmented\20wpm\260106_20WPM_079_aug00.wav,USE THE,20wpm,260106_20WPM.mp3,19.8
data\augmented\20wpm\260106_20WPM_079_aug01.wav,USE THE,20wpm,260106_20WPM.mp3,16.9
data\augmented\20wpm\260106_20WPM_080_aug00.wav,INTERNA,20wpm,260106_20WPM.mp3,18.1
data\augmented\20wpm\260106_20WPM_080_aug01.wav,INTERNA,20wpm,260106_20WPM.mp3,11.3
data\augmented\20wpm\260106_20WPM_081_aug00.wav,L TRANSC,20wpm,260106_20WPM.mp3,5.0
data\augmented\20wpm\260106_20WPM_081_aug01.wav,L TRANSC,20wpm,260106_20WPM.mp3,3.6
data\augmented\20wpm\260106_20WPM_082_aug00.wav,EIVER IS,20wpm,260106_20WPM.mp3,-2.8
data\augmented\20wpm\260106_20WPM_082_aug01.wav,EIVER IS,20wpm,260106_20WPM.mp3,13.1
data\augmented\20wpm\260106_20WPM_083_aug00.wav,BASED O,20wpm,260106_20WPM.mp3,18.5
data\augmented\20wpm\260106_20WPM_083_aug01.wav,BASED O,20wpm,260106_20WPM.mp3,0.2
data\augmented\20wpm\260106_20WPM_084_aug00.wav,N A DIR,20wpm,260106_20WPM.mp3,-0.4
data\augmented\20wpm\260106_20WPM_084_aug01.wav,N A DIR,20wpm,260106_20WPM.mp3,11.5
data\augmented\20wpm\260106_20WPM_085_aug00.wav,ECT CONV,20wpm,260106_20WPM.mp3,17.5
data\augmented\20wpm\260106_20WPM_085_aug01.wav,ECT CONV,20wpm,260106_20WPM.mp3,2.1
data\augmented\20wpm\260106_20WPM_086_aug00.wav,ERSION C,20wpm,260106_20WPM.mp3,5.6
data\augmented\20wpm\260106_20WPM_086_aug01.wav,ERSION C,20wpm,260106_20WPM.mp3,6.2
data\augmented\20wpm\260106_20WPM_087_aug00.wav,"IRCUIT,",20wpm,260106_20WPM.mp3,18.7
data\augmented\20wpm\260106_20WPM_087_aug01.wav,"IRCUIT,",20wpm,260106_20WPM.mp3,6.2
data\augmented\20wpm\260106_20WPM_088_aug00.wav,OFTEN A,20wpm,260106_20WPM.mp3,-1.9
data\augmented\20wpm\260106_20WPM_088_aug01.wav,OFTEN A,20wpm,260106_20WPM.mp3,15.2
data\augmented\20wpm\260106_20WPM_089_aug00.wav,SIGNAL,20wpm,260106_20WPM.mp3,-2.7
data\augmented\20wpm\260106_20WPM_089_aug01.wav,SIGNAL,20wpm,260106_20WPM.mp3,7.9
data\augmented\20wpm\260106_20WPM_090_aug00.wav,CAN BE H,20wpm,260106_20WPM.mp3,12.7
data\augmented\20wpm\260106_20WPM_090_aug01.wav,CAN BE H,20wpm,260106_20WPM.mp3,6.7
data\augmented\20wpm\260106_20WPM_091_aug00.wav,EARD AT,20wpm,260106_20WPM.mp3,-1.5
data\augmented\20wpm\260106_20WPM_091_aug01.wav,EARD AT,20wpm,260106_20WPM.mp3,13.7
data\augmented\20wpm\260106_20WPM_092_aug00.wav,THE CAR,20wpm,260106_20WPM.mp3,-2.0
data\augmented\20wpm\260106_20WPM_092_aug01.wav,THE CAR,20wpm,260106_20WPM.mp3,13.3
data\augmented\20wpm\260106_20WPM_093_aug00.wav,RIER FRE,20wpm,260106_20WPM.mp3,7.5
data\augmented\20wpm\260106_20WPM_093_aug01.wav,RIER FRE,20wpm,260106_20WPM.mp3,-1.0
data\augmented\20wpm\260106_20WPM_094_aug00.wav,QUENCY P,20wpm,260106_20WPM.mp3,11.7
data\augmented\20wpm\260106_20WPM_094_aug01.wav,QUENCY P,20wpm,260106_20WPM.mp3,19.7
data\augmented\20wpm\260106_20WPM_095_aug00.wav,LUS AND,20wpm,260106_20WPM.mp3,17.9
data\augmented\20wpm\260106_20WPM_095_aug01.wav,LUS AND,20wpm,260106_20WPM.mp3,11.6
data\augmented\20wpm\260106_20WPM_096_aug00.wav,MINUS T,20wpm,260106_20WPM.mp3,15.7
data\augmented\20wpm\260106_20WPM_096_aug01.wav,MINUS T,20wpm,260106_20WPM.mp3,-0.6
data\augmented\20wpm\260106_20WPM_097_aug00.wav,HE EQUIV,20wpm,260106_20WPM.mp3,9.6
data\augmented\20wpm\260106_20WPM_097_aug01.wav,HE EQUIV,20wpm,260106_20WPM.mp3,2.3
data\augmented\20wpm\260106_20WPM_098_aug00.wav,ALENT O,20wpm,260106_20WPM.mp3,2.5
data\augmented\20wpm\260106_20WPM_098_aug01.wav,ALENT O,20wpm,260106_20WPM.mp3,-0.4
data\augmented\20wpm\260106_20WPM_099_aug00.wav,F A BEAT,20wpm,260106_20WPM.mp3,18.6
data\augmented\20wpm\260106_20WPM_099_aug01.wav,F A BEAT,20wpm,260106_20WPM.mp3,19.4
data\augmented\20wpm\260106_20WPM_100_aug00.wav,NOTE. I,20wpm,260106_20WPM.mp3,7.2
data\augmented\20wpm\260106_20WPM_100_aug01.wav,NOTE. I,20wpm,260106_20WPM.mp3,13.3
data\augmented\20wpm\260106_20WPM_101_aug00.wav,F YOU SE,20wpm,260106_20WPM.mp3,14.5
data\augmented\20wpm\260106_20WPM_101_aug01.wav,F YOU SE,20wpm,260106_20WPM.mp3,4.1
data\augmented\20wpm\260106_20WPM_102_aug00.wav,LECT TH,20wpm,260106_20WPM.mp3,-0.6
data\augmented\20wpm\260106_20WPM_102_aug01.wav,LECT TH,20wpm,260106_20WPM.mp3,1.6
data\augmented\20wpm\260106_20WPM_103_aug00.wav,E WRONG,20wpm,260106_20WPM.mp3,1.0
data\augmented\20wpm\260106_20WPM_103_aug01.wav,E WRONG,20wpm,260106_20WPM.mp3,4.0
data\augmented\20wpm\260106_20WPM_104_aug00.wav,"SIGNAL,",20wpm,260106_20WPM.mp3,18.4
data\augmented\20wpm\260106_20WPM_104_aug01.wav,"SIGNAL,",20wpm,260106_20WPM.mp3,12.4
data\augmented\20wpm\260106_20WPM_105_aug00.wav,YOUR REC,20wpm,260106_20WPM.mp3,14.5
data\augmented\20wpm\260106_20WPM_105_aug01.wav,YOUR REC,20wpm,260106_20WPM.mp3,12.8
data\augmented\20wpm\260106_20WPM_106_aug00.wav,EIVER W,20wpm,260106_20WPM.mp3,4.3
data\augmented\20wpm\260106_20WPM_106_aug01.wav,EIVER W,20wpm,260106_20WPM.mp3,12.8
data\augmented\20wpm\260106_20WPM_107_aug00.wav,ILL BE C,20wpm,260106_20WPM.mp3,3.3
data\augmented\20wpm\260106_20WPM_107_aug01.wav,ILL BE C,20wpm,260106_20WPM.mp3,14.6
data\augmented\20wpm\260106_20WPM_108_aug00.wav,ENTERED,20wpm,260106_20WPM.mp3,2.3
data\augmented\20wpm\260106_20WPM_108_aug01.wav,ENTERED,20wpm,260106_20WPM.mp3,2.7
data\augmented\20wpm\260106_20WPM_109_aug00.wav,AT TWIC,20wpm,260106_20WPM.mp3,15.6
data\augmented\20wpm\260106_20WPM_109_aug01.wav,AT TWIC,20wpm,260106_20WPM.mp3,11.3
data\augmented\20wpm\260106_20WPM_110_aug00.wav,E THE BE,20wpm,260106_20WPM.mp3,-0.6
data\augmented\20wpm\260106_20WPM_110_aug01.wav,E THE BE,20wpm,260106_20WPM.mp3,8.2
data\augmented\20wpm\260106_20WPM_111_aug00.wav,AT NOTE,20wpm,260106_20WPM.mp3,6.0
data\augmented\20wpm\260106_20WPM_111_aug01.wav,AT NOTE,20wpm,260106_20WPM.mp3,-1.9
data\augmented\20wpm\260106_20WPM_112_aug00.wav,FROM = E,20wpm,260106_20WPM.mp3,18.4
data\augmented\20wpm\260106_20WPM_112_aug01.wav,FROM = E,20wpm,260106_20WPM.mp3,2.8
data\augmented\20wpm\260106_20WPM_113_aug00.wav,ND OF 2,20wpm,260106_20WPM.mp3,8.5
data\augmented\20wpm\260106_20WPM_113_aug01.wav,ND OF 2,20wpm,260106_20WPM.mp3,-2.4
data\augmented\20wpm\260106_20WPM_114_aug00.wav,0 WPM TE,20wpm,260106_20WPM.mp3,5.7
data\augmented\20wpm\260106_20WPM_114_aug01.wav,0 WPM TE,20wpm,260106_20WPM.mp3,15.3
data\augmented\20wpm\260106_20WPM_115_aug00.wav,XT = QST,20wpm,260106_20WPM.mp3,10.7
data\augmented\20wpm\260106_20WPM_115_aug01.wav,XT = QST,20wpm,260106_20WPM.mp3,4.6
data\augmented\20wpm\260106_20WPM_116_aug00.wav,DE W1A,20wpm,260106_20WPM.mp3,-1.6
data\augmented\20wpm\260106_20WPM_116_aug01.wav,DE W1A,20wpm,260106_20WPM.mp3,10.3
data\augmented\20wpm\260106_20WPM_117_aug00.wav,W <,20wpm,260106_20WPM.mp3,1.2
data\augmented\20wpm\260106_20WPM_117_aug01.wav,W <,20wpm,260106_20WPM.mp3,17.7
data\augmented\20wpm\260203_20WPM_000_aug00.wav,= NOW 20,20wpm,260203_20WPM.mp3,2.9
data\augmented\20wpm\260203_20WPM_000_aug01.wav,= NOW 20,20wpm,260203_20WPM.mp3,18.2
data\augmented\20wpm\260203_20WPM_001_aug00.wav,WPM = T,20wpm,260203_20WPM.mp3,6.9
data\augmented\20wpm\260203_20WPM_001_aug01.wav,WPM = T,20wpm,260203_20WPM.mp3,14.0
data\augmented\20wpm\260203_20WPM_002_aug00.wav,EXT IS F,20wpm,260203_20WPM.mp3,15.7
data\augmented\20wpm\260203_20WPM_002_aug01.wav,EXT IS F,20wpm,260203_20WPM.mp3,3.9
data\augmented\20wpm\260203_20WPM_003_aug00.wav,ROM APRI,20wpm,260203_20WPM.mp3,10.7
data\augmented\20wpm\260203_20WPM_003_aug01.wav,ROM APRI,20wpm,260203_20WPM.mp3,7.5
data\augmented\20wpm\260203_20WPM_004_aug00.wav,L 2024,20wpm,260203_20WPM.mp3,5.6
data\augmented\20wpm\260203_20WPM_004_aug01.wav,L 2024,20wpm,260203_20WPM.mp3,-0.5
data\augmented\20wpm\260203_20WPM_005_aug00.wav,QST PAGE,20wpm,260203_20WPM.mp3,5.7
data\augmented\20wpm\260203_20WPM_005_aug01.wav,QST PAGE,20wpm,260203_20WPM.mp3,18.2
data\augmented\20wpm\260203_20WPM_006_aug00.wav,53 = MI,20wpm,260203_20WPM.mp3,-2.1
data\augmented\20wpm\260203_20WPM_006_aug01.wav,53 = MI,20wpm,260203_20WPM.mp3,10.0
